排行榜,游戏名字,目前游戏价格?,游戏评价,游戏页面链接
54,Lobotomy Corporation | Monster Management Simulation,27.00,"特别好评,14,354 篇用户的游戏评测中有 93% 为好评。",https://store.steampowered.com/app/568220/Lobotomy_Corporation__Monster_Management_Simulation/?snr=1_7_7_globaltopsellers_150_3
55,Age of Empires II: Definitive Edition,49.50,"特别好评,79,539 篇用户的游戏评测中有 94% 为好评。",https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/?snr=1_7_7_globaltopsellers_150_3
56,超级机器人大战30, 368.00,"特别好评,828 篇用户的游戏评测中有 92% 为好评。",https://store.steampowered.com/app/898750/30/?snr=1_7_7_globaltopsellers_150_3
57,Marvel's Guardians of the Galaxy Deluxe Edition, 409.00,"特别好评,1,627 篇用户的捆绑包游戏评测中有 92% 为好评。",https://store.steampowered.com/bundle/22974/Marvels_Guardians_of_the_Galaxy_Deluxe_Edition/?snr=1_7_7_globaltopsellers_150_3
58,《命运2：邪姬魅影》豪华版+Bungie30周年纪念组合包, 399.00,暂无评价！,https://store.steampowered.com/app/1656360/2Bungie30/?snr=1_7_7_globaltopsellers_150_3
59,Monster Hunter World: Iceborne Master Edition,236.87,"特别好评,此产品在一个或多个时间段内出现跑题评测活动。这些时间段内的评测已按您的偏好设置不计入此产品的评测分数。",https://store.steampowered.com/bundle/13013/Monster_Hunter_World_Iceborne_Master_Edition/?snr=1_7_7_globaltopsellers_150_3
60,黑相集：灰冥界, 148.00,"特别好评,1,191 篇用户的游戏评测中有 88% 为好评。",https://store.steampowered.com/app/1281590/_/?snr=1_7_7_globaltopsellers_150_3
61,Squad,111.75,"特别好评,67,282 篇用户的游戏评测中有 90% 为好评。",https://store.steampowered.com/app/393380/Squad/?snr=1_7_7_globaltopsellers_150_3
62,東方剛欲異聞　～ 水没した沈愁地獄, 70.00,"特别好评,100 篇用户的游戏评测中有 84% 为好评。",https://store.steampowered.com/app/1440500/_/?snr=1_7_7_globaltopsellers_150_3
63,GTFO,82.40,"特别好评,20,521 篇用户的游戏评测中有 88% 为好评。",https://store.steampowered.com/app/493520/GTFO/?snr=1_7_7_globaltopsellers_150_3
64,NBA 2K22,133.33,"褒贬不一,5,745 篇用户的游戏评测中有 46% 为好评。",https://store.steampowered.com/app/1644960/NBA_2K22/?snr=1_7_7_globaltopsellers_150_3
65,极限竞速：地平线 5, 248.00,暂无评价！,https://store.steampowered.com/app/1551360/_5/?snr=1_7_7_globaltopsellers_150_3
66,Tomb Raider Collection,206.73,"特别好评,此产品在一个或多个时间段内出现跑题评测活动。这些时间段内的评测已按您的偏好设置不计入此产品的评测分数。",https://store.steampowered.com/bundle/13831/Tomb_Raider_Collection/?snr=1_7_7_globaltopsellers_150_3
67,命运2: 传说收藏版,152.50,"褒贬不一,6,563 篇用户的捆绑包游戏评测中有 46% 为好评。",https://store.steampowered.com/sub/514915/?snr=1_7_7_globaltopsellers_150_3
68,Tom Clancy's Rainbow Six? Siege,35.20,"特别好评,828,864 篇用户的游戏评测中有 87% 为好评。",https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_globaltopsellers_150_3
69,巫师 3：狂猎,25.40,"好评如潮,511,961 篇用户的游戏评测中有 97% 为好评。",https://store.steampowered.com/app/292030/_3/?snr=1_7_7_globaltopsellers_150_3
70,Bloons TD 6,11.10,"好评如潮,116,169 篇用户的游戏评测中有 97% 为好评。",https://store.steampowered.com/app/960090/Bloons_TD_6/?snr=1_7_7_globaltopsellers_150_3
